name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
PEPSICO INC,PEP,77476,713448108,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2080,Manufacturing,Beverages,,Beer & Liquor,USD,New York; U.S.A,98c614018e3978acfd46b4011933b018
FIRST DATA CORP,FDC,883980,32008D106,NYSE,True,Domestic Common Stock,Technology,Software - Infrastructure,7389,Services,Services-Business Services Nec,,Business Services,USD,New York; U.S.A,f7821b6ec4da2094d86bfef95be2ac39
RALSTON PURINA CO,RAL,81870,751277104 751277302,NYSE,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2040,Manufacturing,Grain Mill Products,,Food Products,USD,Missouri; U.S.A,4d729192b52ceab04a84a1f807ae5844
REGENCY CENTERS CORP,REG,910606,758849103 758939102,NASDAQ,False,Domestic Common Stock Primary Class,Real Estate,REIT - Retail,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Florida; U.S.A,4e5bcc4a67bba7ba655a22b27d76c8bf
WHOLE FOODS MARKET INC,WFM,865436,966837106,NASDAQ,True,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,,Retail,USD,Texas; U.S.A,8214ee92bd753f707045016255523282
POWER ONE INC,PWER,1042825,73930R102 739308104,NASDAQ,True,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3679,Manufacturing,Electronic Components Nec,,Electronic Equipment,USD,California; U.S.A,715c465febdf138a6664eeec07a6b46f
STARS GROUP INC,TSG,1635327,85570W100 02314M108,NASDAQ,True,Canadian Common Stock,Consumer Cyclical,Gambling,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,Ontario; Canada,a9a96a94493e8b3d33a18f874c8e4ed6
BOSTON SCIENTIFIC CORP,BSX,885725,101137107,NYSE,False,Domestic Common Stock Primary Class,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Massachusetts; U.S.A,eea241a0cd0d76dbc0d7b12996420be5
AMERICAN CAPITAL LTD,ACAS,817473,02503Y103 024937104,NASDAQ,True,Domestic Common Stock,Financial Services,Asset Management,6153,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,USD,Maryland; U.S.A,0cff74dd9b60b34255c5e21322bcd6d1
ZEBRA TECHNOLOGIES CORP,ZBRA,877212,989207105,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3560,Manufacturing,General Industrial Machinery & Equipment,,Machinery,USD,Illinois; U.S.A,c07afbfb09a6647b59d3784d9f8f21c2
XILINX INC,XLNX,743988,983919101,NASDAQ,True,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,c46ce5daac3f4fbc8f73aae59fab2d99
BRIGHTHOUSE FINANCIAL INC,BHF,1685040,10922N103,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,,Insurance,USD,North Carolina; U.S.A,a1c35900282eae6ccf8a03aec32a62a0
US AIRWAYS GROUP INC,UAWGQ,701345,911905107 911905305,NYSE,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,Arizona; U.S.A,12b18f5a51889142cfc1b1f9626171db
HOST HOTELS & RESORTS INC,HST,1070750,44107P104 441078102,NYSE,False,Domestic Common Stock,Real Estate,REIT - Hotel & Motel,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Maryland; U.S.A,ed4182e5a8d7cf8e695f581fa306d403
HP INC,HPQ,47217,40434L105 428236103,NYSE,False,Domestic Common Stock Primary Class,Technology,Computer Hardware,3570,Manufacturing,Computer & Office Equipment,,Computers,USD,California; U.S.A,264808a14a2987e2e023e5b22c7a4579
CADENCE DESIGN SYSTEMS INC,CDNS,813672,127387108,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,17f0c657e4a025b275a53f0c871bbea0
EVEREST RE GROUP LTD,RE,1095073,G3223R108 299808105,NYSE,False,Domestic Common Stock,Financial Services,Insurance - Reinsurance,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Bermuda,7b3ccc25fff8c8c4e84c2174eaf075ab
TOYS R US INC,TOY,1005414,892335100,NYSE,True,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5945,Retail Trade,Retail-Hobby Toy & Game Shops,,Retail,USD,New Jersey; U.S.A,913c170e2b5036a71befe40d169510e9
HERCULES INC,HPC,46989,427056106,NYSE,True,Domestic Common Stock,Basic Materials,Specialty Chemicals,2890,Manufacturing,Miscellaneous Chemical Products,,Chemicals,USD,Delaware; U.S.A,d5df043ef7b34975e5519af8d505764c
TRIBUNE CO,TRB,726513,896047107,NASDAQ,True,Domestic Common Stock,Consumer Cyclical,Broadcasting,4833,Transportation Communications Electric Gas And Sanitary Service,Television Broadcasting Stations,,Communication,USD,Illinois; U.S.A,1ba8fec9c9540d08259575c56b285ca7
QLOGIC CORP,QLGC,918386,747277101,NASDAQ,True,Domestic Common Stock,Technology,Communication Equipment,3576,Manufacturing,Computer Communications Equipment,,Computers,USD,California; U.S.A,6746e92074f484f85a4dda20211b90ce
GATEWAY INC,GTW,895812,367626108 367833100,NASDAQ,True,Domestic Common Stock,Technology,Computer Hardware,3571,Manufacturing,Electronic Computers,,Computers,USD,California; U.S.A,a65db0a03c87e8a01b4ac926d36ad55a
FORTIVE CORP,FTV,1659166,34959J108 34959J116,NYSE,False,Domestic Common Stock Primary Class,Technology,Scientific & Technical Instruments,3823,Manufacturing,Industrial Instruments For Measurement Display And Control,,Measuring and Control Equipment,USD,Washington; U.S.A,c5463e6131f28ec990c97bb78f617bc2
AIR LEASE CORP,AL,1487712,00912X302,NYSE,False,Domestic Common Stock Primary Class,Industrials,Rental & Leasing Services,7359,Services,Services-Equipment Rental & Leasing Nec,,Business Services,USD,California; U.S.A,7894b05a7f1b95d02e901ab13a1cdb3e
XTO ENERGY INC,XTO,868809,98385X106 227573102,NASDAQ,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,e1abe3106ded4c4dea65f48b020b1b41
BIO-RAD LABORATORIES INC,BIO,12208,090572207,NYSE,False,Domestic Common Stock Primary Class,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,ae6ddf4c0f8cab52195067e7cc346c57
ABBOTT LABORATORIES,ABT,1800,002824100,NYSE,False,Domestic Common Stock,Healthcare,Medical Devices,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,1f97b5570c1cfd7009b9f8d5825d8f28
LYONDELLBASELL INDUSTRIES NV,LYB,1489393,N53745100,NYSE,False,Domestic Common Stock Primary Class,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,Texas; U.S.A,132787d4c55f91a92db7b7dcdaa3bc3c
INCO LTD,INCLF,49996,453258402,NYSE,True,Domestic Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,3330,Manufacturing,Primary Smelting & Refining Of Nonferrous Metals,,Steel Works Etc,USD,Ontario; Canada,375dcf9ce94a13541e4f8876a7b5b406
ROBERT HALF INTERNATIONAL INC,RHI,315213,770323103,NYSE,False,Domestic Common Stock,Industrials,Staffing & Employment Services,7363,Services,Services-Help Supply Services,,Business Services,USD,California; U.S.A,96cca99d47796c1a3a7a54ff3b327b4c
HILLENBRAND INC,HI,1417398,431571108 441815107,NYSE,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3990,Manufacturing,Miscellaneous Manufacturing Industries,,,USD,Indiana; U.S.A,c9ca54c07105755042376f8be3a5010f
PROCTER & GAMBLE CO,PG,80424,742718109,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2840,Manufacturing,Soap Detergents Cleang Preparations Perfumes Cosmetics,,Consumer Goods,USD,Ohio; U.S.A,ee542ef6b33f3ba7370eb35315b1b464
WALMART INC,WMT,104169,931142103,NYSE,False,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Arkansas; U.S.A,7ef2db6409e3fc13340c1cc8d86e3f15
AIRGAS INC,ARG,804212,009363102,NYSE,True,Domestic Common Stock,Industrials,Industrial Distribution,5084,Wholesale Trade,Wholesale-Industrial Machinery & Equipment,,Wholesale,USD,Pennsylvania; U.S.A,18cad1368c9a37333da24073aaaa24a1
UNITED PARCEL SERVICE INC,UPS,1090727,911312106,NYSE,False,Domestic Common Stock,Industrials,Integrated Freight & Logistics,4210,Transportation Communications Electric Gas And Sanitary Service,Trucking & Courier Services (No Air),,Transportation,USD,Georgia; U.S.A,0d75848046290380ceb13138e9c6a6af
CIMAREX ENERGY CO,XEC,1168054,171798101,NYSE,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Colorado; U.S.A,98cbecf9822d01367d024b736a2cf198
DEVON ENERGY CORP,DVN,1090012,25179M103 251799102,NYSE,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Oklahoma; U.S.A,f9d81ba68e3f5c2a73bda7e8a87e7032
PLUM CREEK TIMBER CO INC,PCL,849213,729251108,NYSE,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Washington; U.S.A,e16235945d2aac38eb3c061414444dbb
TOSCO CORP,TOS,74091,891490302,NYSE,True,Domestic Common Stock,Energy,Oil & Gas Refining & Marketing,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,Connecticut; U.S.A,45bb5593a5a7d8548ba69fddbff0aec3
KROGER CO,KR,56873,501044101,NYSE,False,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,,Retail,USD,Ohio; U.S.A,62c968cfd3bada6acf3fa6a58cd59838
VISA INC,V,1403161,92826C839,NYSE,False,Domestic Common Stock,Financial Services,Credit Services,7389,Services,Services-Business Services Nec,,Business Services,USD,California; U.S.A,e4c9c4708338f73a4765c649961c81f3
DELPHI CORP,DPHIQ,1072342,247126105,NYSE,True,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Michigan; U.S.A,028675ebf91018f22818ecb61ccb0467
CINERGY CORP,CIN,899652,172474108,NYSE,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Ohio; U.S.A,1596979aebd7b6a0dd955c33523c929c
CBOE GLOBAL MARKETS INC,CBOE,1374310,12503M108,BATS,False,Domestic Common Stock,Financial Services,Financial Data & Stock Exchanges,6200,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,,Trading,USD,Illinois; U.S.A,2a0ff28cc157b47c8143a288d1bae783
SEALED AIR CORP,SEE,1012100,81211K100 812115103 383911104 81211K209,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2820,Manufacturing,Plastic Material Synth Resin/Rubber Cellulos (No Glass),,Chemicals,USD,North Carolina; U.S.A,b28976658f1671d323651b28760b4104
CAPITAL ONE FINANCIAL CORP,COF,927628,14040H105,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Credit Services,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Virginia; U.S.A,448878d61423afce1f3e080fd5e448d5
GAP INC,GPS,39911,364760108,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5651,Retail Trade,Retail-Family Clothing Stores,,Retail,USD,California; U.S.A,1587374d2d5ed1547ce42a3eb75b85fa
MEREDITH CORP,MDP,65011,589433101,NYSE,True,Domestic Common Stock,Consumer Cyclical,Publishing,2721,Manufacturing,Periodicals: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Iowa; U.S.A,fada3884edde6c25e66be59616b189dc
SCANA CORP,SCG,754737,80589M102 805898103,NYSE,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,South Carolina; U.S.A,6b72401d7817d273be46e9203b2877a9
CINTAS CORP,CTAS,723254,172908105,NASDAQ,False,Domestic Common Stock,Industrials,Specialty Business Services,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,Ohio; U.S.A,d10fd3526850825caa070e1e4db030f9
J M SMUCKER CO,SJM,91419,832696405 832696306 832696108,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2033,Manufacturing,Canned Fruits Veg Preserves Jams & Jellies,,Food Products,USD,Ohio; U.S.A,70e23ca74e91f53cc998ac2fd11c88cd
GENERAL MOTORS CORP,MTLQQ,40730,370442105 370442402 370442501 62010U101 62010A105,NYSE,True,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,Michigan; U.S.A,ecaedb0bd0128cc827479a7e8d4bf01b
AVON PRODUCTS INC,AVP,8868,054303102,NYSE,True,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2844,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,,Consumer Goods,USD,New York; U.S.A,84dc3dab3dae75b85c7e35b0415bc261
KMART CORP,KM,56824,482584109 498778208,NYSE,True,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Illinois; U.S.A,6c39d0d2b65f036aa8e4fab2f07f12f0
TARGET CORP,TGT,27419,87612E106,NYSE,False,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Minnesota; U.S.A,8c19838ca6be649a1dafc3645c6c0e78
HARMAN INTERNATIONAL INDUSTRIES INC,HAR,800459,413086109,NYSE,True,Domestic Common Stock,Technology,Consumer Electronics,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,USD,Connecticut; U.S.A,5eaca15f69a4246aeed61b3f521e025b
MCAFEE INC,MFE,890801,579064106 640938106 579057100,NYSE,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,5c7cce525dcd7a65332feb246711ac5c
MEDIMMUNE INC,MEDI,873591,584699102,NASDAQ,True,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Maryland; U.S.A,ca3bd234dee50ff77da3fd13940bca33
PACKAGING CORP OF AMERICA,PKG,75677,695156109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2650,Manufacturing,Paperboard Containers & Boxes,,Shipping Containers,USD,Illinois; U.S.A,eec372c16ab766a5b1fa5127acbdb3ef
VIRTUS CONVERTIBLE & INCOME 2024 TARGET TERM FUND,CBH,1701809,01883H102 92838R105,NYSE,False,CEF,,,,,,,,USD,New York; U.S.A,f6df9a0d4115391ae34963f92fac22b0
DTE ENERGY CO,DTE,936340,233331107 233331115,NYSE,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Michigan; U.S.A,575306a71000682bab50f349a2402a8d
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,833444,G51502105 478366107 000915306,NYSE,False,Domestic Common Stock Primary Class,Industrials,Engineering & Construction,7380,Services,Services-Miscellaneous Business Services,,Business Services,USD,Ireland,e1585bda758401017774a979596e0109
WELLS FARGO & COMPANY,WFC,72971,949746101 949740104 669380107 929798106 668231103,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Diversified,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,California; U.S.A,bdf7578180a28caab21dff665cedbefd
CONVERGYS CORP,CVG,1062047,212485106,NYSE,True,Domestic Common Stock,Technology,Information Technology Services,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Ohio; U.S.A,dc0026d51364e34f78682d1d5cfd1b95
BROWN & BROWN INC,BRO,79282,115236101 730444106,NYSE,False,Domestic Common Stock,Financial Services,Insurance Brokers,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,USD,Florida; U.S.A,283b444cfde4ee91a651e922bc8c8d49
PVH CORP,PVH,78239,693656100 718592108,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,New York; U.S.A,89cf75eb1c69663085afa7e7d4611ae9
APPLE INC,AAPL,320193,037833100,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3571,Manufacturing,Electronic Computers,,Computers,USD,California; U.S.A,a43c3ffca9b4a0be9cee4fa1120832a2
FIRST SOLAR INC,FSLR,1274494,336433107,NASDAQ,False,Domestic Common Stock,Technology,Solar,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Arizona; U.S.A,0688a5f6e89c5609ac938b3678535531
WEIBO CORP,WB,1595761,948596101,NASDAQ,False,ADR Common Stock,Technology,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,China,b081525af9ac969dc24568b09bf9178c
SOVEREIGN BANCORP INC,SOV,811830,845905108 845905306,NYSE,True,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Massachusetts; U.S.A,d8e7a5403ecb25979a1246eb9a23683b
FOOT LOCKER INC,FL,850209,344849104 922944103 980883102,NYSE,False,Domestic Common Stock,Consumer Cyclical,Footwear & Accessories,5661,Retail Trade,Retail-Shoe Stores,,Retail,USD,New York; U.S.A,be3838bb425476b9331f53ca7baab634
NEWMONT CORP,NEM,1164727,651639106,NYSE,False,Domestic Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Colorado; U.S.A,7d7deab9bf3e7dbad956c23b446bed00
MERCURY INTERACTIVE CORP,MERQ,867058,589405109,NASDAQ,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,4eca3994215318d49f3901365300e095
AUTONATION INC,AN,350698,05329W102 760516104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,Florida; U.S.A,0dec45417ede1401552906edf3809002
PHILIP MORRIS INTERNATIONAL INC,PM,1413329,718172109,NYSE,False,Domestic Common Stock,Consumer Defensive,Tobacco,2111,Manufacturing,Cigarettes,,Tobacco Products,USD,New York; U.S.A,0e002010ac1ec750375094c947c94aff
HENRY JACK & ASSOCIATES INC,JKHY,779152,426281101,NASDAQ,False,Domestic Common Stock,Technology,Information Technology Services,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Missouri; U.S.A,7669f9a081c5559af28adc5cb9ecd1a0
CIT GROUP INC,CIT.A,20388,125577106,NYSE,True,Domestic Common Stock,Financial Services,Credit Services,6172,Finance Insurance And Real Estate,Finance Lessors,,Banking,USD,New York; U.S.A,9e1b1d2ee9b838ecaeda63bf329e659f
OMNICOM GROUP INC,OMC,29989,681919106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Advertising Agencies,7311,Services,Services-Advertising Agencies,,Business Services,USD,New York; U.S.A,60375a669c51ea68ef99d7f997181d95
